name,,name,date,website,size,year,,,,
Bitquence,,Bitquence,7/16/17,https://www.bitquence.com/,1.23,17,,,,Exscudo
PressOne,,PressOne,7/15/17,https://ico.info/projects/1,82,17,,,,MobileGo
SONM,,SONM,7/15/17,https://sonm.io/,42,17,,,,EncryptoTel
Orocrypt,,Orocrypt,7/14/17,https://orocrypt.com/#,0.14,17,,,,Gnosis
Fuck,,Fuck,7/13/17,http://www.fucktoken.io/,0.3,17,,,,iEx.ec
Tezos,,Tezos,7/13/17,https://www.tezos.com/,232,17,,,,Ethbits
InsureX,,InsureX,7/13/17,https://insurex.co/,17.27,17,,,,Matchpool
Nimiq,,Nimiq,7/12/17,https://nimiq.com/,14.53,17,,,,Lunyr
ATBcoin,,ATBcoin,7/12/17,https://atbcoin.com/,10.84,17,,,,SuperDAO
LeviarCoin,,LeviarCoin,7/9/17,https://leviarcoin.org/,0.77,17,,,,TaaS
OnPlace,,OnPlace,7/6/17,http://investments.onplace.io/,0.92,17,,,,InternetofCoins
Polybius,,Polybius,7/5/17,https://polybius.io/,31.65,17,,,,Qtum
Santiment,,Santiment,7/5/17,https://santiment.net,12.09,17,,,,Creativechain
OpenANX,,OpenANX,7/4/17,https://www.openanx.org/en/,18.76,17,,,,WeTrust
Rialto,,Rialto,7/4/17,https://www.rialto.ai/,10,17,,,,Apptrade
Starta,,Starta,7/4/17,https://startaico.com/,5,17,,,,Edgeless
CrypViser,,CrypViser,7/4/17,https://ico.crypviser.net/,3.93,17,,,,ChainofPoints
Rialto.AI,,Rialto.AI,7/3/17,https://www.rialto.ai/,10,17,,,,Peerplays
EncryptoTel,,EncryptoTel,7/1/17,https://encryptotel.com/,4.52,17,,,,ArcadeCity
AdEx,,AdEx,6/30/17,https://www.adex.network/,12.31,17,,,,IOTA
BlockPool,,BlockPool,6/30/17,https://blockpool.io,1.75,17,,,,Rivetz
DCORP,,DCORP,6/29/17,https://www.dcorp.it/crowdsale,5.05,17,,,,DMarket
Air,,Air,6/29/17,https://tokeninvestor.com/crowdfunding/air,0,17,,,,Equibit
21 Million,,21Million,6/28/17,https://www.21million.co.uk/,0.38,17,,,,Contingency
SilverCoin,,SilverCoin,6/27/17,https://silvercoin.io/,0.21,17,,,,Augmentors
iDice,,iDice,6/26/17,https://crowdsale.idice.io/,2.02,17,,,,Incent
Octanox,,Octanox,6/26/17,https://octanox.org/,0,17,,,,ChronoBank
Wagerr,,Wagerr,6/25/17,https://wagerr.com/,9.92,17,,,,Golem
CryptoPing,,CryptoPing,6/25/17,https://cryptoping.tech/,0.39,17,,,,Ark
NVO,,NVO,6/25/17,https://nvo.io/,0,17,,,,Tokes
TenX,,TenX,6/24/17,https://www.tenx.tech/,83.11,17,,,,BlockCDN
MaskNetwork,,MaskNetwork,6/24/17,http://masknetwork.com/,0,17,,,,Wings
OmiseGO,,OmiseGO,6/23/17,https://omg.omise.co/,21,17,,,,vDice
FootballCoin,,FootballCoin,6/23/17,https://www.xfccoin.io/,2.42,17,,,,BeyondtheVoid
Civic,,Civic,6/22/17,https://www.civic.com/,33,17,,,,Golos
Status,,Status,6/21/17,https://status.im/,95,17,,,,VirtualAccelerator
Internet of Coins,,InternetofCoins,6/21/17,https://coinstorm.net/en,1.1,17,,,,ETCWin
Monaco,,Monaco,6/18/17,https://mona.co/,10.29,17,,,,Komodo
BidLend,,BidLend,6/14/17,http://www.bidlend.io/,0,17,,,,
