title,ticker,platform,accepted_currencies,country,category,token_for_sale,token_supply,percent_available,token_price_in_usd,total_raised_in_usd,whitelist_required,rating,price_now,,ready?
envion,EVN,Ethereum,"[u'ETH', u'BTC', u'FIAT']",Switzerland,Cryptocurrency,"124,500,000",,0.83,0.7,100000000,FALSE,4.4,67%,,ready
FintruX,FTX,Ethereum,[u'ETH'],Singapore,Finance,,"100,000,000",0.00,0.57,24715000,TRUE,4.6,,,ready
SONM Network,SNM,Ethereum,[u'ETH'],Russia,Software,"165,680,000",,0.50,0.16,35000000,FALSE,3.7,,,ready
Auctus,AUC,Ethereum,[u'ETH'],Virgin Islands (British),Finance,"54,060,000","106,000,000",0.51,0.388655,5173930,TRUE,5,,,ready
Napoleon X,NPX,Ethereum,"[u'ETH', u'BTC', u'FIAT']",France,Platform,"50,000,000","50,000,000",1.00,0.85,12450000,TRUE,4.8,,,ready
The Bee Token,BEE,Ethereum,[u'ETH'],United States of America,Real Estate,,"500,000,000",0.00,0.2,15000000,TRUE,4.6,,,ready
SelfKey,KEY,Ethereum,[u'ETH'],Cayman Islands,Business,,"6,000,000,000",0.00,0.015,21780000,TRUE,4.8,,,ready
WePower,WPR,Ethereum,[u'ETH'],Gibraltar,Platform,,"289,000,000",0.00,0.13,40000000,TRUE,5,,,ready
BABB,BAX,Ethereum,[u'ETH'],United Kingdom,Finance,"20,000,000,000",,#DIV/0!,0.0012,20000000,TRUE,4.6,,,ready
Nucleus,NCASH,Ethereum,"[u'ETH', u'BTC']",United States of America,Platform,"4,000,000,000","10,000,000,000",0.40,0.00375,15000000,TRUE,4.1,,,ready
Medicalchain,MTN,Ethereum,"[u'ETH', u'BTC']",United Kingdom,Health & Medicine,"200,000,000",,#DIV/0!,0.25,24000000,TRUE,4.1,,,ready
MARK.SPACE,MRK,Ethereum,"[u'ETH', u'BTC']",Singapore,Platform,"885,000,000","3,000,000,000",0.30,0.1,10650000,FALSE,4.8,,,ready
Peculium,PCL,Ethereum,[u'ETH'],Luxembourg,Software,"5,000,000,000","18,000,000,000",0.28,0.012,9917634,FALSE,4.8,,,ready
Genaro,GNX,Ethereum,[u'ETH'],Singapore,Cryptocurrency,,"700,000,000",0.00,0.15,11362000,TRUE,3.7,,,ready
Ripio Credit Network,RCN,Ethereum,[u'ETH'],Cayman Islands,Finances,,"1,000,000,000",0.00,0.0743,37863045,TRUE,4.1,,,ready
AirSwap,AST,Ethereum,[u'ETH'],Hong Kong,Other,,"500,000,000",0.00,0.3,32600000,TRUE,3.3,,,ready
Flixxo,FLIXX,Ethereum,[u'ETH'],Argentina,Platform,,"1,000,000,000",0.00,0.0934,4829000,FALSE,4.1,,,ready
Tierion,TNT,Ethereum,"[u'ETH', u'BTC']",United States of America,Platform,"350,000,000","1,000,000,000",0.35,0.071,25000000,TRUE,4.1,,,ready
EtherSportz,ESZ,Ethereum,[u'ETH'],United States of America,Fitness,"7,000,000","10,000,000",0.70,0.5,3500000,TRUE,4.3,,,ready
